domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
gortova.ru,Network activity,,,,,,,domain,
goruda.ru,Network activity,,,,,,,domain,
gosacc.ru,Network activity,,,,,,,domain,
goshita.ru,Network activity,,,,,,,domain,
gotpnib.ru,Network activity,,,,,,,domain,
gov-ua.pw,Network activity,,,,,,,domain,
graeca.online,Network activity,,,,,,,domain,
grafitto.ru,Network activity,,,,,,,domain,
gramine.ru,Network activity,,,,,,,domain,
graphiuma.online,Network activity,,,,,,,domain,
graphiuma.ru,Network activity,,,,,,,domain,
graphosoma.online,Network activity,,,,,,,domain,
graphosoma.ru,Network activity,,,,,,,domain,
gribata.ru,Network activity,,,,,,,domain,
griseus.xyz,Network activity,,,,,,,domain,
gromphadorhina.online,Network activity,,,,,,,domain,
gromphadorhina.ru,Network activity,,,,,,,domain,
guill.ru,Network activity,,,,,,,domain,
guirora.ru,Network activity,,,,,,,domain,
gurmou.site,Network activity,,,,,,,domain,
gymnodactylus.xyz,Network activity,,,,,,,domain,
haguret.ru,Network activity,,,,,,,domain,
hajimari.ru,Network activity,,,,,,,domain,
hakena.online,Network activity,,,,,,,domain,
halibut.site,Network activity,,,,,,,domain,
hamadryas.online,Network activity,,,,,,,domain,
hamadryas.ru,Network activity,,,,,,,domain,
hansenul.ru,Network activity,,,,,,,domain,
haplochromis.online,Network activity,,,,,,,domain,
haromo.ru,Network activity,,,,,,,domain,
hazari.ru,Network activity,,,,,,,domain,
heliconiinae.online,Network activity,,,,,,,domain,
heliconiinae.ru,Network activity,,,,,,,domain,
hepatica.online,Network activity,,,,,,,domain,
herica.ru,Network activity,,,,,,,domain,
herpetodryas.online,Network activity,,,,,,,domain,
herrings.site,Network activity,,,,,,,domain,
herumot.ru,Network activity,,,,,,,domain,
hesperiidae.online,Network activity,,,,,,,domain,
hesperiidae.ru,Network activity,,,,,,,domain,
heteroptera.online,Network activity,,,,,,,domain,
heteroptera.ru,Network activity,,,,,,,domain,
heterotypus.online,Network activity,,,,,,,domain,
hewaniana.online,Network activity,,,,,,,domain,
hibigaru.ru,Network activity,,,,,,,domain,
hiemalis.xyz,Network activity,,,,,,,domain,
hierodula.online,Network activity,,,,,,,domain,
hierodula.ru,Network activity,,,,,,,domain,
hikorta.ru,Network activity,,,,,,,domain,
hikorto.ru,Network activity,,,,,,,domain,
hilotrapa.ru,Network activity,,,,,,,domain,
hilotras.ru,Network activity,,,,,,,domain,
hilus.ru,Network activity,,,,,,,domain,
hippoglossus.online,Network activity,,,,,,,domain,
hirube.ru,Network activity,,,,,,,domain,
hiskolan.ru,Network activity,,,,,,,domain,
historap.ru,Network activity,,,,,,,domain,
historyna.ru,Network activity,,,,,,,domain,
hkjn.online,Network activity,,,,,,,domain,
hkol.online,Network activity,,,,,,,domain,
hkol.ru,Network activity,,,,,,,domain,
hohlomida.site,Network activity,,,,,,,domain,
hokoldar.ru,Network activity,,,,,,,domain,
holitar.ru,Network activity,,,,,,,domain,
holodosiz.site,Network activity,,,,,,,domain,
holorotop.ru,Network activity,,,,,,,domain,
holorta.ru,Network activity,,,,,,,domain,
holotran.ru,Network activity,,,,,,,domain,
holotras.ru,Network activity,,,,,,,domain,
holpantra.ru,Network activity,,,,,,,domain,
holposta.ru,Network activity,,,,,,,domain,
homoptera.online,Network activity,,,,,,,domain,
homoptera.ru,Network activity,,,,,,,domain,
hopfar.ru,Network activity,,,,,,,domain,
horiton.ru,Network activity,,,,,,,domain,
horivana.site,Network activity,,,,,,,domain,
horoton.ru,Network activity,,,,,,,domain,
horridus.xyz,Network activity,,,,,,,domain,
hortoban.ru,Network activity,,,,,,,domain,
hoshiku.ru,Network activity,,,,,,,domain,
hostarama.ru,Network activity,,,,,,,domain,
hotilar.ru,Network activity,,,,,,,domain,
hotornas.ru,Network activity,,,,,,,domain,
hoturna.ru,Network activity,,,,,,,domain,
hpoi.online,Network activity,,,,,,,domain,
huntavo.ru,Network activity,,,,,,,domain,
hurama.ru,Network activity,,,,,,,domain,
husilan.ru,Network activity,,,,,,,domain,
huskari.ru,Network activity,,,,,,,domain,
hustorta.ru,Network activity,,,,,,,domain,
hustram.ru,Network activity,,,,,,,domain,
hylar.xyz,Network activity,,,,,,,domain,
hymenoptera.online,Network activity,,,,,,,domain,
hymenoptera.ru,Network activity,,,,,,,domain,
hypochondralis.xyz,Network activity,,,,,,,domain,
hypogaeat.xyz,Network activity,,,,,,,domain,
ibigao.ru,Network activity,,,,,,,domain,
ichia.ru,Network activity,,,,,,,domain,
ichiella.ru,Network activity,,,,,,,domain,
id-metrika.site,Network activity,,,,,,,domain,
idaite.ru,Network activity,,,,,,,domain,
ienaike.ru,Network activity,,,,,,,domain,
iermo.ru,Network activity,,,,,,,domain,
iersin.ru,Network activity,,,,,,,domain,
igneus.xyz,Network activity,,,,,,,domain,
ikademo.ru,Network activity,,,,,,,domain,
ikaramo.ru,Network activity,,,,,,,domain,
ikaraur.ru,Network activity,,,,,,,domain,
inachis.online,Network activity,,,,,,,domain,
inachis.ru,Network activity,,,,,,,domain,
incursio.online,Network activity,,,,,,,domain,
incursionibus.online,Network activity,,,,,,,domain,
incursus.online,Network activity,,,,,,,domain,
ineari.ru,Network activity,,,,,,,domain,
inosokof.ru,Network activity,,,,,,,domain,
insomniar.ru,Network activity,,,,,,,domain,
intumescere.online,Network activity,,,,,,,domain,
irritabilitas.online,Network activity,,,,,,,domain,
iruto.ru,Network activity,,,,,,,domain,
ishinde.ru,Network activity,,,,,,,domain,
ismetroh.ru,Network activity,,,,,,,domain,
itsuke.ru,Network activity,,,,,,,domain,
iwonaz.ru,Network activity,,,,,,,domain,
jabilen.ru,Network activity,,,,,,,domain,
jaculusan.online,Network activity,,,,,,,domain,
jenipot.ru,Network activity,,,,,,,domain,
jipitor.ru,Network activity,,,,,,,domain,
jistarka.ru,Network activity,,,,,,,domain,
jittome.ru,Network activity,,,,,,,domain,
jofarti.ru,Network activity,,,,,,,domain,
jokolor.ru,Network activity,,,,,,,domain,
jokrista.ru,Network activity,,,,,,,domain,
jolopar.ru,Network activity,,,,,,,domain,
jolotras.ru,Network activity,,,,,,,domain,
jordanella.xyz,Network activity,,,,,,,domain,
jortiska.ru,Network activity,,,,,,,domain,
juncear.xyz,Network activity,,,,,,,domain,
jupirest.ru,Network activity,,,,,,,domain,
kallima.online,Network activity,,,,,,,domain,
kallima.ru,Network activity,,,,,,,domain,
karamono.ru,Network activity,,,,,,,domain,
karrid.ru,Network activity,,,,,,,domain,
kassanfo.ru,Network activity,,,,,,,domain,
keiwakaw.ru,Network activity,,,,,,,domain,
khjs.online,Network activity,,,,,,,domain,
khjs.ru,Network activity,,,,,,,domain,
khpf.online,Network activity,,,,,,,domain,
khpf.ru,Network activity,,,,,,,domain,
kiantor.ru,Network activity,,,,,,,domain,
kibou.ru,Network activity,,,,,,,domain,
kiesoud.ru,Network activity,,,,,,,domain,
kilogar.ru,Network activity,,,,,,,domain,
kilorta.ru,Network activity,,,,,,,domain,
kilotrofa.ru,Network activity,,,,,,,domain,
kimiga.ru,Network activity,,,,,,,domain,
kimige.ru,Network activity,,,,,,,domain,
kiolart.ru,Network activity,,,,,,,domain,
kippuno.ru,Network activity,,,,,,,domain,
kitta.ru,Network activity,,,,,,,domain,
kjoi.online,Network activity,,,,,,,domain,
kjoi.ru,Network activity,,,,,,,domain,
klebsie.ru,Network activity,,,,,,,domain,
