domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.86.167,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.86.169,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.86.240,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.87.29,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.90.15,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.90.215,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.90.78,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,195.140.146.128,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,195.54.32.233,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,195.62.53.63,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,197.39.170.0,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,2.61.31.101,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,20.114.169.166,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,20.52.0.106,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,201.219.103.184,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,216.238.69.137,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,217.25.89.191,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,217.65.247.127,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,217.69.0.35,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,217.69.4.51,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,217.79.1.106,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,220.129.139.182,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,220.172.206.2,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,222.129.32.66,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,222.139.108.230,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,222.212.175.180,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,223.73.222.57,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,223.74.98.96,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,23.106.160.174,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,23.82.140.137,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,27.123.137.149,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.227.240.31,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.231.105.191,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.235.22.33,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.235.66.0,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.236.23.185,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.238.110.198,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.238.129.76,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.238.153.156,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.80.249.0,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.81.68.43,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.83.128.229,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.83.232.141,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.83.45.248,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.83.84.251,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.85.96.147,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.87.118.74,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.87.8.122,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.88.104.1,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.88.50.52,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.91.206.81,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.92.178.45,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,3.95.169.35,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.148.137.194,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.163.222.244,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.23.200.244,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.23.226.15,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.31.203.17,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.31.203.219,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.40.251.145,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.40.251.171,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.41.59.36,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.41.61.158,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,31.7.102.7,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,34.147.27.244,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,34.200.241.38,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,34.204.203.90,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,34.204.205.25,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,34.207.146.108,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,34.207.200.39,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,34.229.139.87,,ip,
